,subject,spam
0,"['priceless', 'rubens', 'works', 'stolen', 'in', 'raid', 'on', 'mansion']",0
1,"['making', 'a', 'mesh', 'on', 'the', 'move']",0
2,"['re', 'xcomma', 'sorting']",0
3,"['re', 'xcomma', 'java', 'is', 'for', 'kiddies']",0
4,"['skateboarder', 'drives', 'xhyphen', 'through', 'subway', 'xdot', 'with', 'his', 'face']",0
5,"['re', 'xcomma', 'canadians']",0
6,"['re', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xlsquareb', 'bebergflame', 'xrsquareb']",0
7,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'xdigit', 'xdot', 'xdigit', 'xslash', 'xdigit', 'xdot', 'xdigit', 'spamd', 'xslash', 'spamc', 'problem']",0
8,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'xdigit', 'xdot', 'xdigit', 'xslash', 'xdigit', 'xdot', 'xdigit', 'spamd', 'xslash', 'spamc', 'problem']",0
9,"['xlsquareb', 'satalk', 'xrsquareb', 'xdigit', 'xdot', 'xdigit', 'xslash', 'xdigit', 'xdot', 'xdigit', 'spamd', 'xslash', 'spamc', 'problem']",0
10,"['re', 'xcomma', 'dylsexics', 'of', 'the', 'wrold', 'xcomma', 'untie', 'xclaim']",0
11,"['xlsquareb', 'satalk', 'xrsquareb', 'procmail', 'help']",0
12,"['a', 'non', 'xhyphen', 'integer', 'power', 'function', 'on', 'the', 'pixel', 'shader']",0
13,"['re', 'xcomma', 'comrade', 'communism', 'xlbracket', 'was', 're', 'xcomma', 'crony', 'capitalism', 'xlbracket', 'was', 're', 'xcomma', 'sed']",0
14,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'testing', 'the', 'install']",0
15,"['anolther', 'sequence', 'related', 'traceback']",0
16,"['re', 'xcomma', 'the', 'case', 'for', 'spam']",0
17,"['re', 'xcomma', 'ebusiness', 'webforms', 'xcomma', 'cluetrain', 'has', 'left', 'the', 'station']",0
18,"['xlsquareb', 'zzzzteana', 'xrsquareb', 're', 'xcomma', 'megalithomania', 'unpissup']",0
19,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'bashing', 'the', 'bishop']",0
20,"['re', 'xcomma', 'entrepreneurs']",0
21,"['xlsquareb', 'ilug', 'xrsquareb', 'doolin']",0
22,"['mathematics', 'film', 'xhyphen', 'festival', 'in', 'october', 'in', 'berkeley']",0
23,"['property', 'rights', 'in', 'the', 'xexotic', 'world', 'xlbracket', 'de', 'soto', 'mystery', 'of', 'capital', 'xrbracket']",0
24,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'the', 'cafe', 'forteana', 'is', 'back', 'online', 'xclaim', 'xclaim', 'xclaim']",0
25,"['more', 'fun', 'with', 'the', 'ptc']",0
26,"['hooters', 'air', 'concept', 'crashes', 'and', 'burns']",0
27,"['re', 'xcomma', 'xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'razor', 'with', 'sendmail']",0
28,"['sylpheed', 'xhyphen', 'claws']",0
29,"['schoolhouserocks', 'dvd']",0
30,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'save', 'the', 'planet', 'xcomma', 'kill', 'the', 'people']",0
31,"['xlsquareb', 'satalk', 'xrsquareb', 're', 'xcomma', 'custom', 'actions', 'for', 'high', 'scoring', 'spam']",0
32,"['native', 'american', 'economics', 'xlbracket', 'was', 're', 'xcomma', 'sed', 'xslash', 's', 'xslash', 'united', 'states', 'xslash', 'roman']",0
33,"['re', 'xcomma', 'sunmsapple', 'xexotic', 'of', 'the', 'day']",0
34,"['re', 'xcomma', 'xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'xquote', 'no', 'razor', 'servers', 'available', 'at', 'this', 'time', 'xquote']",0
35,"['re', 'xcomma', 'liberal', 'defnitions']",0
36,"['two', 'in', 'court', 'on', 'ira', 'spy', 'charges']",0
37,"['xlsquareb', 'ilug', 'xrsquareb', 'hayes', 'accura', 'isdn', 'pci']",0
38,"['human', 'handshake', 'opens', 'data', 'stream']",0
39,"['nobel', 'prize', 'for', 'british', 'and', 'us', 'scientists']",0
40,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'white', 'horse', 'vandalised']",0
41,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'adsl', 'router', 'modem', 'combo']",0
42,"['kill', 'your', 'gods']",0
43,"['archaeological', 'finds', 'show', 'that', 'the', 'incas', 'rode', 'dinosaurs', 'xcomma', 'science']",0
44,"['re', 'xcomma', 'canadians']",0
45,"['xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'razor', 'and', 'pine']",0
46,"['re', 'xcomma', 'java', 'is', 'for', 'kiddies']",0
47,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'o', 'xdot', 't', 'xdot', 'habeus', 'xhyphen', 'xhyphen', 'why', 'xquestionm']",0
48,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'the', 'tenth', 'planet']",0
49,"['xlsquareb', 'spambayes', 'xrsquareb', 'deleting', 'xquote', 'duplicate', 'xquote', 'spam', 'before', 'training', 'xquestionm', 'good', 'idea']",0
50,"['re', 'xcomma', 'pluck', 'and', 'luck']",0
51,"['xlsquareb', 'spambayes', 'xrsquareb', 're', 'xcomma', 'xlsquareb', 'python', 'xhyphen', 'dev', 'xrsquareb', 'getting', 'started', 'with', 'gbayes', 'testing']",0
52,"['find', 'the', 'bug']",0
53,"['monkey', 'or', 'man', 'xquestionm']",0
54,"['colophon', 'xdigit']",0
55,['quickly'],0
56,"['xquote', 'free', 'xquote', 'elvis', 'costello', 'cd', 'a', 'trojan', 'horse', 'for', 'drm', 'malware']",0
57,"['new', 'gunner', 'gilberto', 'is', 'quick', 'to', 'earn', 'his', 'stripes']",0
58,"['fwd', 'xcomma', 're', 'xlsquareb', 'xdigit', 'xrsquareb', 'xcomma', 'aa', 'meetings', 'the', 'hottest', 'place', 'to', 'meet', 'women', 'with', 'big']",0
59,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'worryingly', 'sophisticated', 'bees']",0
60,"['encryption', 'approach', 'to', 'secure', 'web', 'applications']",0
61,"['harvest', 'moon']",0
62,"['movie', 'quiz']",0
63,"['the', 'case', 'for', 'spam']",0
64,"['steven', 'levy', 'wireless', 'neighbors']",0
65,"['xlsquareb', 'spambayes', 'xrsquareb', 'deployment']",0
66,"['re', 'xcomma', 'dylsexics', 'of', 'the', 'wrold', 'xcomma', 'untie', 'xclaim']",0
67,"['xlsquareb', 'spambayes', 'xrsquareb', 'deleting', 'xquote', 'duplicate', 'xquote', 'spam', 'before', 'training', 'xquestionm', 'good', 'idea', 'or']",0
68,"['re', 'xcomma', 'internet', 'archive', 'bookmobile']",0
69,"['re', 'xcomma', 'introductions']",0
70,"['re', 'xcomma', 'introductions']",0
71,['myincerrors'],0
72,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'latest', 'iraq', 'xhyphen', 'related', 'news']",0
73,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 're', 'xcomma', 'several', 'messages']",0
74,"['re', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
75,"['re', 'xcomma', 'the', 'wrong', 'business']",0
76,"['re', 'xcomma', 'the', 'big', 'jump']",0
77,"['re', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
78,"['blix', 'told', 'to', 'await', 'new', 'orders', 'on', 'iraq']",0
79,"['re', 'xlsquareb', 'xdigit', 'xrsquareb', 'xcomma', 'aa', 'meetings', 'the', 'hottest', 'place', 'to', 'meet', 'women', 'with', 'big', 'bucks']",0
80,"['gdc', 'xdigit', 'xcomma', 'game', 'scripting', 'in', 'python']",0
81,"['re', 'xcomma', 'rh', 'xdigit', 'no', 'dma', 'for', 'dvd', 'drive']",0
82,"['ufos', 'in', 'the', 'sky', 'xclaim']",0
83,"['sidekick', 'browser', 'blows']",0
84,"['xexotic', 'intestines', 'and', 'xexotic', 'teeth']",0
85,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'vpn', 'implementation']",0
86,"['re', 'xlsquareb', 'xdigit', 'xrsquareb', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
87,"['re', 'xcomma', 'sorting']",0
88,"['get', 'your', 'own', 'genome', 'xcomma', 'feed', 'your', 'hypochondria']",0
89,"['re', 'xcomma', 'electric', 'car', 'an', 'edsel', 'xdot', 'xdot', 'xdot']",0
90,"['re', 'xcomma', 'lifegem']",0
