,subject,spam
0,"['friend', 'xcomma', 'copy', 'any', 'dvd', 'or', 'playstation', 'game', 'with', 'this', 'software', 'xdot', 'xdot', 'xdot', 'xdot', 'xdot', 'xdot']",1
1,"['xpercent', 'guaranteed', 'for', 'eight', 'years']",1
2,"['congratulations', 'xclaim', 'you', 'get', 'a', 'free', 'handheld', 'organizer', 'xclaim']",1
3,"['one', 'of', 'a', 'kind', 'money', 'maker', 'xclaim', 'try', 'it', 'for', 'free', 'xclaim']",1
4,"['online', 'doctors', 'will', 'fill', 'your', 'viagra', 'prescription', 'now', 'xclaim', 'xclaim', 'xclaim', 'qeeb']",1
5,"['take', 'your', 'marketing', 'to', 'the', 'next', 'level']",1
6,"['one', 'sale', 'xhyphen', 'three', 'commission', 'streams']",1
7,"['find', 'peace', 'xcomma', 'harmony', 'xcomma', 'tranquility', 'xcomma', 'and', 'happiness', 'right', 'now', 'xclaim']",1
8,"['adv', 'xcomma', 'extended', 'auto', 'warranties', 'here', 'undoc']",1
9,"['definitely', 'the', 'answer', 'many', 'have', 'been', 'waiting', 'for', 'xclaim', 'xclaim']",1
10,"['save', 'xdollar', 'xcomma', 'maybe', 'xdollar', 'xcomma', 'xdigit', 'with', 'no', 'lender', 'fees', 'xdot', 'click', 'here', 'xclaim']",1
11,"['get', 'the', 'computer', 'skills', 'you', 'need', 'xhyphen', 'free']",1
12,"['xlsquareb', 'wm', 'xrsquareb', 'ceviri', 'yazilimlari']",1
13,"['let', 'me', 'know', 'what', 'you', 'think', 'xclaim', 'xdigit']",1
14,"['international', 'calls', 'for', 'only', 'xdigit', 'cents', 'per', 'minute', 'with', 'no', 'subscription']",1
15,"['garden', 'ornaments', 'xpipe', 'ppu']",1
16,"['a', 'marketplace', 'where', 'lenders', 'compete', 'for', 'your', 'business', 'lfhlxhu']",1
17,"['cheap', 'fags']",1
18,"['hey', 'xcomma', 'rates', 'are', 'low', 'xdot', 'what', 'are', 'you', 'waiting', 'for', 'xquestionm']",1
19,"['one', 'of', 'a', 'kind', 'money', 'maker', 'xclaim', 'try', 'it', 'for', 'free', 'xclaim']",1
20,"['xequal', 'xquestionm', 'iso', 'xhyphen', 'xdigit', 'xhyphen', 'jp', 'xquestionm', 'b', 'xquestionm', 'xexotic', 'xquestionm', 'xequal']",1
21,"['xlsquareb', 'ilug', 'xhyphen', 'social', 'xrsquareb', 'lose', 'xdigit', 'xdot', 'xexotic', 'in', 'xdigit', 'weeks', 'xclaim']",1
22,"['outstanding', 'opportunities', 'for', 'xquote', 'premier', 'producers', 'xquote']",1
23,"['re', 'xcomma', 'girls']",1
24,"['attn', 'xcomma', 'targeted', 'email', 'addresses']",1
25,"['your', 'ebay', 'account', 'is', 'about', 'to', 'expire', 'xclaim']",1
26,"['xequal', 'xquestionm', 'iso', 'xhyphen', 'xdigit', 'xhyphen', 'jp', 'xquestionm', 'b', 'xquestionm', 'xexotic', 'xquestionm', 'xequal']",1
27,"['act', 'now', 'xhyphen', 'reach', 'hundreds', 'of', 'prospects']",1
28,['relationship'],1
29,"['re', 'xcomma', 'protect', 'your', 'computer', 'xcomma', 'you', 'need', 'systemworks', 'xclaim', 'coxr']",1
30,"['one', 'of', 'a', 'kind', 'money', 'maker', 'xclaim', 'try', 'it', 'for', 'free', 'xclaim']",1
